,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation
10,11,5,1986,2017-01-17,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2011-08-29,,,,,,,,,,,,366 International Way,2170.0,NSW,Australia,8.0
11,12,61,2783,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-17,Antonin,Gleaves,M,14.0,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,13392 Emmet Parkway,2171.0,NSW,Australia,9.0
12,13,35,1243,2017-02-26,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12,Robbert,Blakey,M,73.0,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,2 Eliot Lane,2155.0,NSW,Australia,11.0
13,14,16,2717,2017-09-10,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1994-09-09,Frederic,McGown,M,31.0,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,6994 Hanson Place,2580.0,NSW,Australia,5.0
14,15,12,247,2017-06-11,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,Kristal,Joysey,F,62.0,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,2 2nd Plaza,2283.0,NSW,Australia,4.0
15,16,3,2961,2017-10-10,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2003-09-09,Merv,Barradell,M,56.0,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,8 Roxbury Way,3031.0,VIC,Australia,8.0
16,17,79,2426,2017-04-03,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2004-08-07,,,,,,,,,,,,4 Becker Center,2145.0,NSW,Australia,10.0
17,18,33,1842,2017-06-02,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,Ephrayim,Beville,M,89.0,1977-02-27,Accountant IV,Financial Services,Mass Customer,N,No,8.0,9649 Cascade Way,2250.0,NSW,Australia,8.0
18,19,54,2268,2017-04-06,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,Wilhelmina,Gothup,F,66.0,1965-10-07,Pharmacist,Health,Mass Customer,N,No,19.0,9574 David Lane,3218.0,VIC,Australia,8.0
19,20,25,3002,2017-01-28,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2002-03-22,Tracey,Verdun,M,62.0,1956-12-06,Paralegal,Financial Services,Mass Customer,N,Yes,16.0,673 Comanche Parkway,2470.0,NSW,Australia,2.0
20,21,27,1582,2017-10-09,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23,Francesco,Wasson,M,32.0,1978-01-14,Office Assistant III,Property,Mass Customer,N,No,4.0,85301 John Wall Road,2101.0,NSW,Australia,11.0
21,22,37,595,2017-06-29,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20,Nikola,Jeanon,M,72.0,1973-05-12,VP Marketing,Financial Services,Mass Customer,N,No,22.0,0278 Elka Place,4305.0,QLD,Australia,4.0
22,23,37,2001,2017-04-08,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2015-05-21,Mada,Martinho,F,21.0,1977-10-06,Analog Circuit Design manager,Manufacturing,Mass Customer,N,Yes,3.0,3 Bonner Point,2800.0,NSW,Australia,4.0
23,24,82,515,2017-10-18,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04,Winna,Verny,F,55.0,1989-09-04,Help Desk Operator,IT,High Net Worth,N,No,8.0,12845 Paget Lane,2026.0,NSW,Australia,12.0
24,25,89,2822,2017-06-11,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1993-04-20,,,,,,,,,,,,99216 Oakridge Hill,3124.0,VIC,Australia,12.0
25,26,64,2596,2017-01-10,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2015-05-21,,,,,,,,,,,,33782 Doe Crossing Terrace,2280.0,NSW,Australia,7.0
26,27,64,2666,2017-04-11,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-18,Lyle,Eager,M,2.0,1971-02-16,Occupational Therapist,Health,Mass Customer,N,No,9.0,0 Knutson Crossing,2151.0,NSW,Australia,8.0
27,28,19,76,2017-12-23,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2016-07-09,Rea,Hasser,F,20.0,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0,439 Ridgeway Court,4213.0,QLD,Australia,9.0
28,29,72,3368,2017-10-13,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-06,Tanya,Boddis,F,7.0,1967-07-17,Technical Writer,Financial Services,Affluent Customer,N,No,16.0,2 Roxbury Place,2564.0,NSW,Australia,8.0
29,30,91,1173,2017-03-15,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-10,Gertie,Chaim,F,58.0,1978-03-02,Statistician IV,Retail,High Net Worth,N,No,16.0,71 Cherokee Hill,2127.0,NSW,Australia,7.0
30,31,88,2810,2017-09-05,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,2002-10-10,,,,,,,,,,,,453 Gina Avenue,3141.0,VIC,Australia,8.0
31,32,1,3214,2017-02-18,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14,Cindelyn,Balas,F,2.0,1993-01-21,Software Engineer III,Financial Services,Mass Customer,N,Yes,9.0,050 Monterey Street,4869.0,QLD,Australia,3.0
32,33,25,1272,2017-03-20,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04,,,,,,,,,,,,26 Portage Junction,4503.0,QLD,Australia,5.0
33,34,99,2003,2017-02-28,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-01,Lilli,Hargey,F,80.0,1962-06-21,Statistician III,Manufacturing,High Net Worth,N,Yes,8.0,064 Fallview Terrace,4500.0,QLD,Australia,7.0
34,35,0,2171,2017-08-20,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22,Laryssa,Maes,F,21.0,1970-02-10,Pharmacist,Health,High Net Worth,N,No,10.0,6 Tennyson Place,2138.0,NSW,Australia,9.0
35,36,92,3356,2017-07-07,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2003-09-10,Dill,Bampford,M,47.0,1959-03-23,Safety Technician II,Financial Services,Mass Customer,N,Yes,6.0,73 Burrows Court,3121.0,VIC,Australia,8.0
36,37,14,1040,2017-01-09,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,1995-10-24,Jacenta,Wedlock,F,78.0,1975-03-04,Food Chemist,Health,High Net Worth,N,No,9.0,27135 Melvin Plaza,4556.0,QLD,Australia,8.0
37,38,2,2916,2017-12-06,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,1991-11-07,Lauren,Adolfson,M,23.0,1969-08-03,Product Engineer,Manufacturing,Affluent Customer,N,Yes,9.0,2 Blue Bill Park Lane,4220.0,QLD,Australia,8.0
38,39,12,427,2017-09-12,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2005-12-07,Giusto,Torbett,M,77.0,1996-12-19,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,2.0,1 Carey Pass,2065.0,NSW,Australia,11.0
39,40,0,2448,2017-11-28,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22,Lorri,Iston,F,5.0,1992-12-18,Structural Analysis Engineer,Property,High Net Worth,N,No,10.0,11 Dunning Pass,2219.0,NSW,Australia,10.0
40,41,44,2570,2017-05-08,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2003-02-16,Hirsch,Peele,M,13.0,1977-09-10,Professor,Financial Services,Mass Customer,N,Yes,18.0,457 Merry Pass,4812.0,QLD,Australia,3.0
41,42,79,3398,2017-05-14,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,2013-09-16,,,,,,,,,,,,375 Luster Parkway,2147.0,NSW,Australia,9.0
42,43,76,488,2017-03-17,0.0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-10,Domini,Ghelerdini,F,24.0,1980-07-11,Help Desk Operator,Property,Mass Customer,N,Yes,10.0,4671 Buell Trail,3564.0,Victoria,Australia,2.0
43,44,46,165,2017-12-22,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,2003-02-16,Aldon,Roelofs,M,61.0,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0,22371 Miller Trail,2032.0,NSW,Australia,10.0
44,45,55,2787,2017-06-07,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,2015-06-17,,,,,,,,,,,,3 Cordelia Place,3018.0,VIC,Australia,9.0
45,46,66,3053,2017-06-20,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,2016-07-09,,,,,,,,,,,,274 Ludington Trail,2428.0,NSW,Australia,5.0
46,47,35,475,2017-05-07,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12,,,,,,,,,,,,781 Dorton Avenue,3012.0,Victoria,Australia,10.0
47,48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,2012-04-10,Averil,Gentiry,M,97.0,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,3 School Place,4124.0,QLD,Australia,4.0
48,49,86,1251,2017-06-17,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2004-08-07,Codie,Arnecke,M,63.0,1997-10-01,Desktop Support Technician,Property,Mass Customer,N,No,2.0,6 Lerdahl Plaza,4519.0,QLD,Australia,6.0
49,50,32,3103,2017-05-10,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2002-03-22,Shaylah,Hatchell,F,5.0,1953-10-21,Safety Technician II,Retail,Mass Customer,N,No,20.0,32304 Larry Road,4014.0,QLD,Australia,7.0
50,51,77,3108,2017-03-24,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10,Trip,Ahmed,M,94.0,1967-10-01,Accounting Assistant III,Entertainment,Mass Customer,N,No,10.0,1742 Scott Center,4670.0,QLD,Australia,2.0
51,52,96,857,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2007-12-11,,,,,,,,,,,,18 Parkside Plaza,4122.0,QLD,Australia,4.0
52,53,6,3455,2017-12-21,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,1991-11-07,,,,,,,,,,,,757 Debs Avenue,4670.0,QLD,Australia,4.0
53,54,27,2549,2017-02-09,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1994-07-12,Mike,Geggus,M,12.0,1998-08-07,Pharmacist,Health,Mass Customer,N,Yes,4.0,01 Burning Wood Terrace,2323.0,NSW,Australia,9.0
54,55,0,3140,2017-09-18,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10,Britt,Muddimer,F,2.0,1985-06-11,Legal Assistant,Manufacturing,High Net Worth,N,No,16.0,3 Canary Center,2040.0,NSW,Australia,10.0
55,56,47,3406,2017-11-14,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1997-02-09,Lucy,Lackmann,F,35.0,1979-04-28,Business Systems Development Analyst,IT,Mass Customer,N,Yes,10.0,5 Northland Plaza,2096.0,NSW,Australia,9.0
56,57,94,2294,2017-08-30,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09,Skipton,Cordie,M,25.0,1987-06-16,Associate Professor,Manufacturing,Mass Customer,N,No,21.0,7 Melrose Circle,4017.0,QLD,Australia,5.0
57,58,91,1031,2017-11-14,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,1999-07-26,Roi,Ogden,M,75.0,1983-09-15,Junior Executive,Manufacturing,Mass Customer,N,No,6.0,65634 Del Mar Crossing,4053.0,QLD,Australia,7.0
58,59,93,993,2017-02-15,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-02,Reine,Semken,F,71.0,1977-02-18,Account Coordinator,Argiculture,High Net Worth,N,No,17.0,84019 Porter Trail,2871.0,NSW,Australia,3.0
59,60,60,3473,2017-12-18,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2014-07-28,,,,,,,,,,,,7279 Steensland Circle,3803.0,VIC,Australia,7.0
60,61,0,1839,2017-02-24,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,1993-10-02,Faythe,Rance,F,60.0,1987-05-08,Internal Auditor,Entertainment,High Net Worth,N,Yes,5.0,734 South Court,4152.0,QLD,Australia,8.0
61,62,33,1824,2017-12-18,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,Robbie,Yakubovics,F,12.0,1959-10-12,Safety Technician III,Manufacturing,Affluent Customer,N,Yes,5.0,2364 Dovetail Way,3048.0,VIC,Australia,6.0
62,63,35,368,2017-12-17,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14,,,,,,,,,,,,382 Maywood Parkway,4127.0,QLD,Australia,6.0
63,64,0,2000,2017-07-08,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,2006-11-10,,,,,,,,,,,,59170 Westridge Junction,2147.0,NSW,Australia,8.0
64,65,28,825,2017-05-16,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,2016-11-22,,,,,,,,,,,,8640 Village Junction,2066.0,NSW,Australia,12.0
65,66,86,3315,2017-02-23,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1999-07-26,Ninnette,Pandey,F,77.0,1994-09-08,Account Executive,Property,Mass Customer,N,Yes,5.0,6 North Court,3862.0,VIC,Australia,7.0
66,67,2,75,2017-07-03,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,Dollie,Sealy,F,28.0,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0,4763 Merchant Avenue,2756.0,New South Wales,Australia,8.0
67,68,4,1498,2017-09-30,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2004-09-28,,,,,,,,,,,,40 Dexter Crossing,2250.0,NSW,Australia,9.0
68,69,38,1612,2017-10-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15,Wendel,Headland,M,70.0,1987-04-17,Community Outreach Specialist,Financial Services,High Net Worth,N,Yes,22.0,84504 Doe Crossing Road,2441.0,NSW,Australia,4.0
69,70,27,2192,2017-05-06,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23,,,,,,,,,,,,3 Thierer Plaza,4815.0,QLD,Australia,1.0
70,71,54,419,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,Chrissie,Bernardini,F,34.0,1981-01-26,VP Marketing,Manufacturing,Affluent Customer,N,No,17.0,7526 Artisan Parkway,4223.0,QLD,Australia,8.0
71,72,77,3307,2017-05-09,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09,Portia,Thirlwall,F,96.0,1978-09-02,Analyst Programmer,Health,High Net Worth,N,No,14.0,1172 Mesta Center,4740.0,QLD,Australia,2.0
72,73,22,2430,2017-07-23,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-15,,,,,,,,,,,,57769 Gulseth Lane,2040.0,NSW,Australia,10.0
73,74,56,1506,2017-01-21,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1997-10-04,,,,,,,,,,,,6 Canary Plaza,2223.0,NSW,Australia,8.0
74,75,58,1346,2017-06-20,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-18,Woody,Dowthwaite,M,9.0,1970-06-19,Administrative Assistant IV,Telecommunications,Mass Customer,N,No,19.0,5 Springview Terrace,3620.0,VIC,Australia,4.0
75,76,22,927,2017-03-10,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1991-11-10,,,,,,,,,,,,2309 Gulseth Way,3199.0,VIC,Australia,8.0
76,77,50,763,2017-06-02,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2003-02-16,Benita,Cuffley,F,95.0,1987-11-05,Computer Systems Analyst IV,Manufacturing,Affluent Customer,N,No,12.0,08 Vidon Center,2143.0,NSW,Australia,5.0
77,78,80,2397,2017-11-07,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1998-12-16,Cassius,Birchenough,M,33.0,1985-06-10,Analyst Programmer,Retail,Affluent Customer,N,Yes,4.0,44083 Village Court,2142.0,NSW,Australia,7.0
78,79,87,102,2017-09-12,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,1997-08-25,Langsdon,Tranfield,M,51.0,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,55850 Butterfield Road,2168.0,New South Wales,Australia,9.0
79,80,15,2884,2017-12-16,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07,,,,,,,,,,,,8369 Golf Court,2777.0,NSW,Australia,9.0
80,81,84,759,2017-10-07,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02,Mitchel,Schimek,M,89.0,1963-04-18,Clinical Specialist,Health,High Net Worth,N,No,13.0,4 Vahlen Junction,2227.0,NSW,Australia,10.0
81,82,21,773,2017-04-27,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,2011-05-07,,,,,,,,,,,,88 Bay Drive,4305.0,QLD,Australia,3.0
82,83,0,3398,2017-04-01,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2003-01-05,,,,,,,,,,,,375 Luster Parkway,2147.0,NSW,Australia,9.0
83,84,33,3297,2017-11-02,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,Addy,Moukes,M,39.0,1975-04-26,Product Engineer,Manufacturing,Mass Customer,N,No,13.0,50 Declaration Junction,3213.0,VIC,Australia,6.0
84,85,84,2434,2017-02-13,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2004-12-18,,,,,,,,,,,,1966 Glendale Avenue,4207.0,QLD,Australia,4.0
85,86,1,1861,2017-07-19,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2004-09-28,Charlena,Muzzi,F,26.0,1967-07-18,Geological Engineer,Manufacturing,Mass Customer,N,Yes,8.0,7939 Toban Crossing,2770.0,NSW,Australia,7.0
86,87,27,1233,2017-05-23,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1991-08-05,,,,,,,,,,,,26 Lotheville Court,2085.0,NSW,Australia,11.0
87,88,31,1390,2017-08-06,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1993-04-20,Christyna,Feldberg,F,74.0,2000-01-25,Accounting Assistant I,Retail,High Net Worth,N,Yes,1.0,02701 Talmadge Junction,3082.0,VIC,Australia,7.0
88,89,0,2682,2017-04-04,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,2010-05-05,Annamarie,Bouzan,F,54.0,1987-11-01,Accountant III,Manufacturing,High Net Worth,N,Yes,20.0,446 Warrior Pass,4740.0,QLD,Australia,5.0
89,90,62,439,2017-08-15,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,1993-06-23,,,,,,,,,,,,8788 Armistice Trail,3806.0,VIC,Australia,8.0
90,91,17,1579,2017-04-15,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-04-05,Madelaine,Siegertsz,F,40.0,1978-01-27,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,17.0,82 Hanover Avenue,2101.0,NSW,Australia,10.0
91,92,73,2984,2017-07-25,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,2000-05-22,Frances,Mishaw,F,48.0,1959-05-23,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,Yes,13.0,0 Hayes Hill,2106.0,NSW,Australia,11.0
92,93,33,3470,2017-11-28,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1999-12-04,Catherina,Ricca,F,56.0,1967-10-01,Recruiting Manager,Health,Affluent Customer,N,Yes,6.0,176 Sutteridge Alley,3121.0,VIC,Australia,11.0
93,94,86,1,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2005-05-10,Laraine,Medendorp,F,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,060 Morning Avenue,2016.0,New South Wales,Australia,10.0
94,95,45,757,2017-02-26,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,1993-04-12,Kinsley,Klimus,M,91.0,1977-05-13,Environmental Tech,Financial Services,Mass Customer,N,No,18.0,195 Knutson Place,4019.0,QLD,Australia,8.0
95,96,1,1778,2017-02-21,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2011-04-16,,,,,,,,,,,,8 Vermont Pass,3930.0,VIC,Australia,9.0
96,97,80,211,2017-05-31,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,2004-12-18,,,,,,,,,,,,78 Rockefeller Park,2159.0,NSW,Australia,10.0
97,99,95,32,2017-03-26,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2003-09-10,Marion,Vanichkin,F,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,2951 Petterle Place,2756.0,New South Wales,Australia,9.0
98,100,0,119,2017-07-31,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,1998-12-17,,,,,,,,,,,,5814 Bunker Hill Street,3070.0,VIC,Australia,7.0
99,101,18,2347,2017-07-27,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2015-08-10,,,,,,,,,,,,1081 Laurel Park,2049.0,NSW,Australia,12.0
100,102,4,2353,2017-04-14,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2011-04-16,Lyn,Luquet,M,93.0,1978-12-27,Health Coach IV,Health,Affluent Customer,N,Yes,12.0,22774 Pennsylvania Hill,2262.0,NSW,Australia,6.0
101,103,33,788,2017-11-12,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,Gregg,Townsend,M,62.0,1964-07-01,Social Worker,Health,Mass Customer,N,No,11.0,00 Mockingbird Junction,2141.0,NSW,Australia,9.0
102,104,78,1468,2017-09-12,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,Adaline,Hayles,F,37.0,1978-01-10,Financial Advisor,Financial Services,Mass Customer,N,No,22.0,45725 Hagan Pass,2519.0,NSW,Australia,9.0
103,105,89,821,2017-10-26,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2013-06-09,Gregoor,Aronovitz,M,41.0,1981-07-24,Financial Analyst,Financial Services,Mass Customer,N,Yes,7.0,59000 American Center,2530.0,NSW,Australia,8.0
104,106,70,2489,2017-02-15,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11,Emma,Mates,F,42.0,1976-06-12,Speech Pathologist,Retail,Mass Customer,N,No,15.0,9 Spaight Place,2102.0,NSW,Australia,9.0
105,107,79,2710,2017-12-22,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2003-09-09,,,,,,,,,,,,86445 Bonner Junction,4660.0,QLD,Australia,3.0
106,108,26,947,2017-10-11,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,1993-05-26,Hyacinth,Naldrett,F,43.0,1986-03-10,Pharmacist,Health,Mass Customer,N,No,10.0,9 Clyde Gallagher Plaza,3021.0,VIC,Australia,7.0
107,109,39,1335,2017-03-27,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2006-10-01,,,,,,,,,,,,4 Sycamore Pass,3977.0,VIC,Australia,5.0
108,110,36,1076,2017-11-04,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19,Siegfried,Trattles,M,33.0,2000-06-06,Pharmacist,Health,Affluent Customer,N,No,2.0,44 Ramsey Road,2515.0,NSW,Australia,9.0
109,111,0,3320,2017-06-11,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-17,Anabella,Mealham,F,16.0,1994-06-02,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,6.0,88 Michigan Junction,3109.0,VIC,Australia,10.0
